study_hours,attendance,assignments_completed,final_score
4.537879522000844,81,5,42.604046997890364
9.02841899659402,88,8,95.47859981341577
6.680247633975366,62,5,95.14694291671957
8.153301731874835,71,9,55.17941007935447
5.523733837946729,85,7,81.72466738639885
6.192134961637232,75,7,44.52607282538616
5.432659244369775,96,5,49.97292591455518
2.7571868901824006,81,8,53.00854639518947
7.502069037353548,88,8,57.66963681036579
3.526951261967702,73,9,99.74988250176224
1.2188436978830846,87,5,81.81550335182888
6.80925066316451,64,7,63.0521098827532
2.5939961146634403,89,8,84.22604235058115
9.464127259176228,64,5,94.91526050014639
9.585357193023286,71,8,97.52214444447077
9.233779511984036,75,8,43.47183386546244
4.331428302298999,85,7,63.67130791648779
1.1391095487598069,85,6,46.40536395615306
9.354867063289529,80,9,60.13960388781779
4.8536573348558285,98,9,50.180794233733934
9.699893371393026,95,7,78.81090170012342
9.672579793803276,92,8,63.296103039392335
8.677085099206241,89,5,53.76368474229698
3.6500400286262713,96,8,55.956275497854335
4.465879557417328,82,7,61.620705712316095
8.660230043651712,69,9,55.59699177125576
3.852298046406499,64,8,67.19445080972986
2.5254347201748324,95,9,41.93895706657903
6.0112113621251515,93,5,56.78581043013674
9.425392967447028,90,9,64.67240325233118
7.264268170074757,69,9,76.16691292139791
6.1305505308042845,78,6,56.25745855090779
1.8745884439369167,91,6,47.99110751342498
6.535065040292528,60,6,44.57202277594979
9.91048465093837,64,9,96.43190962812301
2.260756137128716,63,7,64.99834346430876
5.664966871273631,75,9,74.86975727084958
8.8963576473516,83,7,95.15059311013357
7.66691755978784,75,7,44.964905202118366
7.273141668957412,61,6,92.59968915554757
7.322356755883983,87,8,73.0952723526442
4.2354203609777965,91,5,49.89005566822006
3.64232659838044,86,6,64.67530699512214
8.284250399306622,79,6,86.65613702411353
8.291020552112627,83,8,68.82220491198129
8.803650867220934,71,5,99.11716303993026
9.219164973008242,94,9,62.604338196276444
5.60208158974844,92,9,84.97469799856432
5.513646652184796,92,6,63.579366938731546
8.184656610700976,96,5,89.74985324239086
6.849675376999887,71,6,74.14488814994486
7.31770189531933,62,7,43.81070977540008
8.16213402492491,60,6,42.20931205815948
9.010048076358096,92,6,48.031127128037994
4.041956411663822,99,9,40.82031788961984
4.380246573759496,69,9,44.52154362114774
1.845837458567821,88,9,81.50286383013471
6.204521268965566,72,7,72.06077650176778
1.3234804641706788,71,9,84.99464496819832
5.190382163192141,90,5,94.78994513545857
5.883801712368189,61,8,75.10897193952832
3.5788712691545594,94,5,83.56725064431089
6.317499345121097,82,5,85.42487212254736
1.2745022494514449,76,9,62.67103295654719
1.3361336987429298,85,8,54.46508993977791
8.403405045936925,67,8,52.30271971039149
4.241715772701366,88,8,55.08654637070791
2.143544613866963,85,7,56.483907821554524
5.700189340493239,69,9,52.43365894048338
7.9299419778874976,85,8,92.69324004875153
2.9423892474715885,93,7,85.41994793033372
6.606014282371002,66,6,42.8137880674732
1.768127184943912,63,6,56.12034892151844
1.4651354905174694,70,7,41.3310845218181
5.782191684113332,88,7,69.88991119875358
5.865716094490959,95,9,68.57264180734086
6.736869113483859,84,9,89.88228940375006
7.534822003503954,80,6,58.46663438626297
9.782668715162812,95,8,88.98314411278375
5.646703134710758,69,6,98.07842592638939
3.9066082564712135,96,8,45.30449340193879
8.156675752918332,68,8,87.50907036817797
3.437490261358668,83,9,75.39735382825816
4.950742786350725,94,5,68.8027580211085
1.7061074320803935,94,5,65.2321467199045
1.2281566907391177,95,7,87.08009583665857
9.663835732101326,77,9,78.36168141845454
8.523821084609853,98,8,88.30268005116172
7.263767854843282,91,5,94.18906352059759
4.680576499728429,83,8,77.03582272583752
2.559648880637612,82,5,98.82776350554266
2.4079333840397745,91,5,76.48527097251312
3.252186083481358,96,5,78.19865929733695
5.943039982355084,71,9,73.28893651253354
7.431363304300561,72,6,45.46012546307982
6.941776390459581,82,8,83.5838219590137
3.5194050725134858,84,9,72.8467784139467
9.593787525968747,94,9,67.05462684496626
7.641072250261916,89,9,94.62827670419638
5.989186472602606,76,9,57.877567092517026
